group,ndc_code
omeprazole,00093521001
omeprazole,00093521101
omeprazole,00093521110
omeprazole,00093521119
omeprazole,00093521156
omeprazole,00093521193
omeprazole,00093521201
omeprazole,00093521210
omeprazole,00093529410
omeprazole,00093529456
omeprazole,00093529498
omeprazole,00093645056
omeprazole,00093645098
omeprazole,00093645156
omeprazole,00093645198
omeprazole,00113089803
omeprazole,00113091530
omeprazole,00113091555
omeprazole,00113091574
omeprazole,00179180470
omeprazole,00186038230
omeprazole,00186038290
omeprazole,00186038430
omeprazole,00186038490
omeprazole,00186051060
omeprazole,00186052039
omeprazole,00186052060
omeprazole,00186060628
omeprazole,00186060631
omeprazole,00186060668
omeprazole,00186060682
omeprazole,00186061001
omeprazole,00186062501
omeprazole,00186074228
omeprazole,00186074231
omeprazole,00186074282
omeprazole,00186074328
omeprazole,00186074331
omeprazole,00186074368
omeprazole,00186074382
omeprazole,00186401001
omeprazole,00186402001
omeprazole,00186402501
omeprazole,00186404001
omeprazole,00186405001
omeprazole,00186502031
omeprazole,00186502054
omeprazole,00186502082
omeprazole,00186502228
omeprazole,00186504031
omeprazole,00186504035
omeprazole,00186504054
omeprazole,00186504055
omeprazole,00186504082
omeprazole,00186504085
omeprazole,00186504225
omeprazole,00186504228
omeprazole,00186602001
omeprazole,00186604001
omeprazole,00378235010
omeprazole,00378235077
omeprazole,00378235093
omeprazole,00378235110
omeprazole,00378235177
omeprazole,00378235193
omeprazole,00378253010
omeprazole,00378253093
omeprazole,00378253110
omeprazole,00378253193
omeprazole,00378521193
omeprazole,00378521195
omeprazole,00378522205
omeprazole,00378522293
omeprazole,00378615001
omeprazole,00378615010
omeprazole,00378615077
omeprazole,00378615093
omeprazole,00378615097
omeprazole,00395811943
omeprazole,00395811952
omeprazole,00395811956
omeprazole,00395811962
omeprazole,00403535118
omeprazole,00536113113
omeprazole,00536113171
omeprazole,00536113188
omeprazole,00573245014
omeprazole,00573245015
omeprazole,00573245028
omeprazole,00573245042
omeprazole,00573245056
omeprazole,00573245114
omeprazole,00573245142
omeprazole,00573245214
omeprazole,00573245242
omeprazole,00781223201
omeprazole,00781223210
omeprazole,00781223231
omeprazole,00781223301
omeprazole,00781223310
omeprazole,00781223331
omeprazole,00781223392
omeprazole,00781223401
omeprazole,00781223410
omeprazole,00781223431
omeprazole,00781278501
omeprazole,00781278510
omeprazole,00781278531
omeprazole,00781279001
omeprazole,00781279010
omeprazole,00781279031
omeprazole,00781279092
omeprazole,00781285901
omeprazole,00781285910
omeprazole,00781285931
omeprazole,00781286801
omeprazole,00781286810
omeprazole,00781286831
omeprazole,00781286892
omeprazole,00904568461
omeprazole,00904571489
omeprazole,00904571589
omeprazole,00904583441
omeprazole,00904583442
omeprazole,00904583471
omeprazole,00904583494
omeprazole,00904613561
omeprazole,00904614461
omeprazole,00904658168
omeprazole,00904691761
omeprazole,10544034130
omeprazole,10544087830
omeprazole,10544089530
omeprazole,10695006550
omeprazole,10695006570
omeprazole,11523726501
omeprazole,11523726503
omeprazole,11822030525
omeprazole,11822040426
omeprazole,11822050525
omeprazole,11822050526
omeprazole,11822050527
omeprazole,11822053752
omeprazole,11822057351
omeprazole,11822057352
omeprazole,11822057353
omeprazole,11822057393
omeprazole,11822068620
omeprazole,11822068621
omeprazole,11822068622
omeprazole,11822068623
omeprazole,12280000130
omeprazole,12280000190
omeprazole,12280001515
omeprazole,12280024530
omeprazole,12634024071
omeprazole,13107011530
omeprazole,13107011630
omeprazole,13668015410
omeprazole,13668015430
omeprazole,13668015490
omeprazole,13668015510
omeprazole,13668015530
omeprazole,13668015590
omeprazole,16590017610
omeprazole,16590017614
omeprazole,16590017615
omeprazole,16590017628
omeprazole,16590017630
omeprazole,16590017656
omeprazole,16590017660
omeprazole,16590017672
omeprazole,16590017682
omeprazole,16590017690
omeprazole,16590031430
omeprazole,16590033430
omeprazole,16590033460
omeprazole,16590033490
omeprazole,16590050915
omeprazole,16590050928
omeprazole,16590050930
omeprazole,16590050960
omeprazole,16590050972
omeprazole,16590050990
omeprazole,16590062515
omeprazole,16590062528
omeprazole,16590062530
omeprazole,16590062560
omeprazole,16590077330
omeprazole,16590077360
omeprazole,16590077390
omeprazole,16590079315
omeprazole,16590079328
omeprazole,16590079330
omeprazole,16590079356
omeprazole,16590095760
omeprazole,16714012301
omeprazole,16714012302
omeprazole,16714012303
omeprazole,16714050801
omeprazole,16714050901
omeprazole,16714071401
omeprazole,16714071501
omeprazole,16714071502
omeprazole,16714071503
omeprazole,16714073501
omeprazole,16714073502
omeprazole,16714073601
omeprazole,16714073602
omeprazole,16714074601
omeprazole,16714074701
omeprazole,16714074702
omeprazole,16714074703
omeprazole,16714074801
omeprazole,16714074802
omeprazole,16714074804
omeprazole,16714097901
omeprazole,16714097902
omeprazole,16714098001
omeprazole,16714098002
omeprazole,16729025266
omeprazole,16729025269
omeprazole,17478085010
omeprazole,17856011820
omeprazole,17856015920
omeprazole,18837010660
omeprazole,18837010730
omeprazole,18837010790
omeprazole,18837011607
omeprazole,18837011615
omeprazole,18837011630
omeprazole,18837011660
omeprazole,18837011690
omeprazole,18837012630
omeprazole,18837012690
omeprazole,18837026910
omeprazole,18837026930
omeprazole,21695009110
omeprazole,21695009130
omeprazole,21695009160
omeprazole,21695009215
omeprazole,21695009230
omeprazole,21695009730
omeprazole,21695009760
omeprazole,21695009772
omeprazole,21695009807
omeprazole,21695009810
omeprazole,21695009814
omeprazole,21695009815
omeprazole,21695009830
omeprazole,21695009860
omeprazole,21695009872
omeprazole,21695009890
omeprazole,21695047614
omeprazole,21695061730
omeprazole,21695061760
omeprazole,21695061790
omeprazole,23490603601
omeprazole,23490603603
omeprazole,23490603606
omeprazole,23490603609
omeprazole,23490689703
omeprazole,23490689706
omeprazole,23490689709
omeprazole,23490753401
omeprazole,23490761103
omeprazole,23490785803
omeprazole,23490785806
omeprazole,23490785809
omeprazole,23490902003
omeprazole,27241002931
omeprazole,27241002962
omeprazole,27241003031
omeprazole,27241003062
omeprazole,27241003103
omeprazole,27241003203
omeprazole,31722057210
omeprazole,31722057230
omeprazole,31722057290
omeprazole,31722057310
omeprazole,31722057330
omeprazole,31722057390
omeprazole,33261008700
omeprazole,33261008702
omeprazole,33261008706
omeprazole,33261008707
omeprazole,33261008714
omeprazole,33261008720
omeprazole,33261008721
omeprazole,33261008728
omeprazole,33261008730
omeprazole,33261008740
omeprazole,33261008742
omeprazole,33261008760
omeprazole,33261008790
omeprazole,33261011706
omeprazole,33261011707
omeprazole,33261011714
omeprazole,33261011721
omeprazole,33261011728
omeprazole,33261011730
omeprazole,33261011740
omeprazole,33261011760
omeprazole,33261011790
omeprazole,33261044107
omeprazole,33261044114
omeprazole,33261044121
omeprazole,33261044128
omeprazole,33261044130
omeprazole,33261044140
omeprazole,33261044160
omeprazole,33261044190
omeprazole,33261056700
omeprazole,33261056730
omeprazole,33261056760
omeprazole,33261056790
omeprazole,33358026030
omeprazole,33358026060
omeprazole,33358027310
omeprazole,33358027318
omeprazole,33358027328
omeprazole,33358027330
omeprazole,33358027360
omeprazole,33358027390
omeprazole,35356064430
omeprazole,35356064460
omeprazole,35356064490
omeprazole,35356081114
omeprazole,35356081130
omeprazole,35356081160
omeprazole,35356081190
omeprazole,35356089160
omeprazole,36800091501
omeprazole,36800091503
omeprazole,36800091530
omeprazole,36800091555
omeprazole,36800091574
omeprazole,37000045502
omeprazole,37000045503
omeprazole,37000045504
omeprazole,37000045505
omeprazole,37000045902
omeprazole,37000045903
omeprazole,37000045904
omeprazole,37205083706
omeprazole,37205083715
omeprazole,37205083774
omeprazole,38779193500
omeprazole,38779193501
omeprazole,38779193502
omeprazole,38779193503
omeprazole,38779193504
omeprazole,38779193505
omeprazole,38779193506
omeprazole,38779193507
omeprazole,38779193508
omeprazole,38779193509
omeprazole,38779225103
omeprazole,38779225105
omeprazole,38779225107
omeprazole,38779225108
omeprazole,38779225109
omeprazole,38779318300
omeprazole,38779318301
omeprazole,38779318303
omeprazole,38779318304
omeprazole,38779318305
omeprazole,38779318306
omeprazole,38779318307
omeprazole,38779318308
omeprazole,38779318309
omeprazole,42254004330
omeprazole,42254004360
omeprazole,42254004372
omeprazole,42254005307
omeprazole,42254005314
omeprazole,42254005315
omeprazole,42254005330
omeprazole,42254005360
omeprazole,42254005372
omeprazole,42254005390
omeprazole,42254024660
omeprazole,42291057210
omeprazole,42291057310
omeprazole,42291058530
omeprazole,42292000901
omeprazole,42292000916
omeprazole,42292001001
omeprazole,42292001016
omeprazole,42549054130
omeprazole,42549054160
omeprazole,42549054190
omeprazole,42549065830
omeprazole,42549065860
omeprazole,42549065890
omeprazole,43063021214
omeprazole,43063021230
omeprazole,43063021260
omeprazole,43063021290
omeprazole,43063021293
omeprazole,43063045190
omeprazole,43063054990
omeprazole,43063074314
omeprazole,43063074330
omeprazole,43063074360
omeprazole,43063074390
omeprazole,43598040727
omeprazole,43598040733
omeprazole,43598040752
omeprazole,43598050910
omeprazole,43598050930
omeprazole,43598050990
omeprazole,43598051010
omeprazole,43598051030
omeprazole,43598051090
omeprazole,45802088830
omeprazole,45802088855
omeprazole,45865034200
omeprazole,45865034230
omeprazole,45865034251
omeprazole,45865034260
omeprazole,45865034290
omeprazole,46122002903
omeprazole,46122002904
omeprazole,46122002974
omeprazole,46122002999
omeprazole,46122028104
omeprazole,46122028174
omeprazole,46122053803
omeprazole,46122053804
omeprazole,46122053874
omeprazole,46122061604
omeprazole,47335050844
omeprazole,47335050944
omeprazole,47463055430
omeprazole,49348084661
omeprazole,49452489101
omeprazole,49452489102
omeprazole,49452489103
omeprazole,49452489105
omeprazole,49452489106
omeprazole,49614023830
omeprazole,49614023866
omeprazole,49884026811
omeprazole,49884026852
omeprazole,49884026911
omeprazole,49884026952
omeprazole,49884039711
omeprazole,49884045511
omeprazole,49999026500
omeprazole,49999026501
omeprazole,49999026514
omeprazole,49999026515
omeprazole,49999026528
omeprazole,49999026530
omeprazole,49999026540
omeprazole,49999026560
omeprazole,49999026590
omeprazole,49999030715
omeprazole,49999030730
omeprazole,49999030790
omeprazole,49999061100
omeprazole,49999061130
omeprazole,49999061160
omeprazole,49999074214
omeprazole,50090074200
omeprazole,50090115700
omeprazole,50090115701
omeprazole,50090137000
omeprazole,50090137002
omeprazole,50090146000
omeprazole,50090149200
omeprazole,50090206700
omeprazole,50090206702
omeprazole,50090276900
omeprazole,50090276901
omeprazole,50090276902
omeprazole,50090290100
omeprazole,50090290102
omeprazole,50090290103
omeprazole,50090290104
omeprazole,50090290105
omeprazole,50090290106
omeprazole,50090290107
omeprazole,50090290108
omeprazole,50090290109
omeprazole,50090302300
omeprazole,50090302301
omeprazole,50090303101
omeprazole,50090306000
omeprazole,50090306002
omeprazole,50090306003
omeprazole,50090306004
omeprazole,50090306005
omeprazole,50090306006
omeprazole,50090306007
omeprazole,50090306008
omeprazole,50090306009
omeprazole,50090306501
omeprazole,50268061911
omeprazole,50268061915
omeprazole,50268062011
omeprazole,50268062015
omeprazole,50436006501
omeprazole,50436006502
omeprazole,50436006503
omeprazole,50436014601
omeprazole,50436014602
omeprazole,50436039601
omeprazole,50436039602
omeprazole,50436312001
omeprazole,50436312101
omeprazole,50436312501
omeprazole,50436312502
omeprazole,50436312503
omeprazole,50436312601
omeprazole,50436312602
omeprazole,51079000701
omeprazole,51079000717
omeprazole,51079000719
omeprazole,51079000720
omeprazole,51079000730
omeprazole,51079000756
omeprazole,51407012901
omeprazole,51407012910
omeprazole,51407012930
omeprazole,51407012990
omeprazole,51407013001
omeprazole,51407013005
omeprazole,51407013030
omeprazole,51407013090
omeprazole,51407025601
omeprazole,51407025610
omeprazole,51407030301
omeprazole,51407030310
omeprazole,51552105002
omeprazole,51552105004
omeprazole,51552105005
omeprazole,51552105007
omeprazole,51552135001
omeprazole,51552144305
omeprazole,51552144306
omeprazole,51655002226
omeprazole,51655002326
omeprazole,51927344500
omeprazole,51991064233
omeprazole,51991064290
omeprazole,51991064310
omeprazole,51991064333
omeprazole,51991064390
omeprazole,51991064405
omeprazole,51991064433
omeprazole,51991064490
omeprazole,52246020001
omeprazole,52246020030
omeprazole,52246040001
omeprazole,52246040030
omeprazole,52372062401
omeprazole,52372062402
omeprazole,52372062403
omeprazole,52372062404
omeprazole,52372062405
omeprazole,52959053604
omeprazole,52959053610
omeprazole,52959053614
omeprazole,52959053615
omeprazole,52959053628
omeprazole,52959053630
omeprazole,52959053660
omeprazole,52959064230
omeprazole,52959064290
omeprazole,52959072200
omeprazole,52959072207
omeprazole,52959072210
omeprazole,52959072214
omeprazole,52959072215
omeprazole,52959072218
omeprazole,52959072220
omeprazole,52959072230
omeprazole,52959072260
omeprazole,52959072275
omeprazole,52959072290
omeprazole,52959091710
omeprazole,52959099898
omeprazole,53746095503
omeprazole,53746095703
omeprazole,54569326700
omeprazole,54569326702
omeprazole,54569482800
omeprazole,54569527300
omeprazole,54569527400
omeprazole,54569527401
omeprazole,54569536700
omeprazole,54569548200
omeprazole,54569548202
omeprazole,54569548203
omeprazole,54569548204
omeprazole,54569548205
omeprazole,54569548206
omeprazole,54569548207
omeprazole,54569548208
omeprazole,54569548209
omeprazole,54569558200
omeprazole,54569616500
omeprazole,54569616501
omeprazole,54569643100
omeprazole,54569643101
omeprazole,54569643102
omeprazole,54569654600
omeprazole,54569654900
omeprazole,54569655100
omeprazole,54569659200
omeprazole,54569659201
omeprazole,54569673700
omeprazole,54569673701
omeprazole,54569855000
omeprazole,54569912000
omeprazole,54868216900
omeprazole,54868216901
omeprazole,54868216903
omeprazole,54868216904
omeprazole,54868449500
omeprazole,54868449501
omeprazole,54868451000
omeprazole,54868451001
omeprazole,54868451002
omeprazole,54868451003
omeprazole,54868463500
omeprazole,54868471400
omeprazole,54868471401
omeprazole,54868471402
omeprazole,54868471403
omeprazole,54868471404
omeprazole,54868541002
omeprazole,54868561100
omeprazole,54868591100
omeprazole,54868598700
omeprazole,54868598701
omeprazole,54868608500
omeprazole,54868608501
omeprazole,55045307101
omeprazole,55045307102
omeprazole,55045307103
omeprazole,55045307104
omeprazole,55045307106
omeprazole,55045307108
omeprazole,55045307109
omeprazole,55045309708
omeprazole,55045310901
omeprazole,55045310902
omeprazole,55045310904
omeprazole,55045343208
omeprazole,55045345008
omeprazole,55048053930
omeprazole,55048054030
omeprazole,55048055430
omeprazole,55048055460
omeprazole,55048055490
omeprazole,55048055530
omeprazole,55048061330
omeprazole,55048066005
omeprazole,55048066060
omeprazole,55111015701
omeprazole,55111015730
omeprazole,55111015801
omeprazole,55111015810
omeprazole,55111015830
omeprazole,55111015834
omeprazole,55111015901
omeprazole,55111015905
omeprazole,55111015930
omeprazole,55111028960
omeprazole,55111036330
omeprazole,55111036430
omeprazole,55111039727
omeprazole,55111039728
omeprazole,55111039733
omeprazole,55111039742
omeprazole,55111039752
omeprazole,55111039774
omeprazole,55111049230
omeprazole,55111049330
omeprazole,55111064501
omeprazole,55111064505
omeprazole,55111064530
omeprazole,55111064534
omeprazole,55111070160
omeprazole,55150018505
omeprazole,55154334800
omeprazole,55154568100
omeprazole,55154664800
omeprazole,55154727700
omeprazole,55175281903
omeprazole,55289039428
omeprazole,55289071410
omeprazole,55289071428
omeprazole,55289097114
omeprazole,55289097130
omeprazole,55289097160
omeprazole,55289097190
omeprazole,55289097193
omeprazole,55700004630
omeprazole,55700037730
omeprazole,55700037760
omeprazole,55700037790
omeprazole,55700041030
omeprazole,55700041060
omeprazole,55700041090
omeprazole,55700042830
omeprazole,55700069314
omeprazole,55700069330
omeprazole,55700069360
omeprazole,55700069390
omeprazole,55700085630
omeprazole,55700088930
omeprazole,55887039020
omeprazole,55887039030
omeprazole,55887039060
omeprazole,55887039090
omeprazole,55887039614
omeprazole,55887039620
omeprazole,55887039630
omeprazole,55887039640
omeprazole,55887039660
omeprazole,55887039690
omeprazole,55887063614
omeprazole,55887063630
omeprazole,55887063660
omeprazole,55887063682
omeprazole,55887063690
omeprazole,57237016001
omeprazole,57237016030
omeprazole,57237016101
omeprazole,57237016130
omeprazole,57237016190
omeprazole,57237016199
omeprazole,57237016201
omeprazole,57237016230
omeprazole,57237016290
omeprazole,57841115001
omeprazole,57841115002
omeprazole,57866006001
omeprazole,57866312101
omeprazole,57866312201
omeprazole,57866312501
omeprazole,57866312502
omeprazole,57896075928
omeprazole,57896075942
omeprazole,57896096042
omeprazole,58016021000
omeprazole,58016021002
omeprazole,58016021030
omeprazole,58016021060
omeprazole,58016021090
omeprazole,58016032700
omeprazole,58016032730
omeprazole,58016032760
omeprazole,58016032790
omeprazole,58016038400
omeprazole,58016038402
omeprazole,58016038430
omeprazole,58016038460
omeprazole,58016038490
omeprazole,58016066900
omeprazole,58016066902
omeprazole,58016066930
omeprazole,58016066960
omeprazole,58016066990
omeprazole,58016077600
omeprazole,58016077630
omeprazole,58016077660
omeprazole,58016077690
omeprazole,58016082400
omeprazole,58016082430
omeprazole,58016082460
omeprazole,58016082490
omeprazole,58016087700
omeprazole,58016087702
omeprazole,58016087714
omeprazole,58016087715
omeprazole,58016087730
omeprazole,58016087742
omeprazole,58016087760
omeprazole,58016087790
omeprazole,58016087799
omeprazole,58016092500
omeprazole,58016092502
omeprazole,58016092530
omeprazole,58016092560
omeprazole,58016092590
omeprazole,58016092599
omeprazole,58016461400
omeprazole,58016461403
omeprazole,58016461406
omeprazole,58016461409
omeprazole,58864076330
omeprazole,58864083230
omeprazole,58864083260
omeprazole,59088070100
omeprazole,59651000101
omeprazole,59651000130
omeprazole,59651000205
omeprazole,59651000290
omeprazole,59651000299
omeprazole,59651000301
omeprazole,59651000305
omeprazole,59651000330
omeprazole,59779050301
omeprazole,59779050302
omeprazole,59779050303
omeprazole,59779050355
omeprazole,59779073201
omeprazole,59779073203
omeprazole,60346068130
omeprazole,60429015701
omeprazole,60429015703
omeprazole,60429015704
omeprazole,60429015705
omeprazole,60429015708
omeprazole,60429015710
omeprazole,60429015718
omeprazole,60429015730
omeprazole,60429015736
omeprazole,60429015760
omeprazole,60429015790
omeprazole,60429027010
omeprazole,60429027090
omeprazole,60429027105
omeprazole,60429027190
omeprazole,60429089905
omeprazole,60429089990
omeprazole,60429097405
omeprazole,60429097490
omeprazole,60505006500
omeprazole,60505006501
omeprazole,60505006502
omeprazole,60505006507
omeprazole,60505006508
omeprazole,60505014500
omeprazole,60505014501
omeprazole,60505014502
omeprazole,60505014600
omeprazole,60505014601
omeprazole,60505014602
omeprazole,60505014609
omeprazole,60505395203
omeprazole,60687023501
omeprazole,60687023511
omeprazole,60687024601
omeprazole,60687024611
omeprazole,60760024630
omeprazole,60760039530
omeprazole,60760039605
omeprazole,60760039607
omeprazole,60760039620
omeprazole,60760039630
omeprazole,60760039660
omeprazole,60760039690
omeprazole,60760050430
omeprazole,60760052105
omeprazole,60760052110
omeprazole,60760052114
omeprazole,60760052120
omeprazole,60760052130
omeprazole,60760052160
omeprazole,60760052190
omeprazole,60760052230
omeprazole,60760052290
omeprazole,61113060628
omeprazole,61113060631
omeprazole,61113060668
omeprazole,61113060682
omeprazole,61113074228
omeprazole,61113074231
omeprazole,61113074282
omeprazole,61113074328
omeprazole,61113074331
omeprazole,61113074368
omeprazole,61113074382
omeprazole,61919017614
omeprazole,61919017615
omeprazole,61919017630
omeprazole,61919017660
omeprazole,61919017672
omeprazole,61919017690
omeprazole,61919024114
omeprazole,61919024130
omeprazole,61919024160
omeprazole,61919024190
omeprazole,61919024330
omeprazole,61919050930
omeprazole,61919077330
omeprazole,61919077360
omeprazole,61919077390
omeprazole,61919078930
omeprazole,61919078960
omeprazole,61919080714
omeprazole,61919080715
omeprazole,61919080730
omeprazole,61919080760
omeprazole,61919080790
omeprazole,61919083430
omeprazole,61919084730
omeprazole,61919084760
omeprazole,61919084790
omeprazole,61919086830
omeprazole,62011033201
omeprazole,62011033202
omeprazole,62011033203
omeprazole,62037064001
omeprazole,62037064010
omeprazole,62037064030
omeprazole,62175011432
omeprazole,62175011437
omeprazole,62175011832
omeprazole,62175011837
omeprazole,62175011841
omeprazole,62175011843
omeprazole,62175013632
omeprazole,62175013637
omeprazole,62175013643
omeprazole,62175082032
omeprazole,62175082043
omeprazole,62175082046
omeprazole,62175084032
omeprazole,62175084043
omeprazole,62175084046
omeprazole,62682400106
omeprazole,62756050844
omeprazole,62756050944
omeprazole,62991240001
omeprazole,62991240002
omeprazole,62991240003
omeprazole,62991240004
omeprazole,62991240005
omeprazole,63187007030
omeprazole,63187007060
omeprazole,63187017030
omeprazole,63187050960
omeprazole,63187078730
omeprazole,63187078778
omeprazole,63187078790
omeprazole,63187080560
omeprazole,63187082006
omeprazole,63187082014
omeprazole,63187082030
omeprazole,63187082060
omeprazole,63187082078
omeprazole,63187082090
omeprazole,63187082830
omeprazole,63187082890
omeprazole,63304044501
omeprazole,63304044510
omeprazole,63304044530
omeprazole,63304073410
omeprazole,63304073430
omeprazole,63304073490
omeprazole,63304073510
omeprazole,63304073530
omeprazole,63304073590
omeprazole,63307035505
omeprazole,63307035511
omeprazole,63307035515
omeprazole,63307035527
omeprazole,63307035549
omeprazole,63370021425
omeprazole,63370021435
omeprazole,63370021450
omeprazole,63629260700
omeprazole,63629260701
omeprazole,63629260702
omeprazole,63629260703
omeprazole,63629260704
omeprazole,63629260705
omeprazole,63629260706
omeprazole,63629260707
omeprazole,63629260708
omeprazole,63629260709
omeprazole,63629331101
omeprazole,63629331102
omeprazole,63629331103
omeprazole,63629380901
omeprazole,63629435801
omeprazole,63629435802
omeprazole,63629435803
omeprazole,63629435804
omeprazole,63629459401
omeprazole,63629459402
omeprazole,63629459403
omeprazole,63629459404
omeprazole,63629459405
omeprazole,63739035810
omeprazole,63739044510
omeprazole,63739044543
omeprazole,63868017714
omeprazole,63868017728
omeprazole,63868017742
omeprazole,63874055304
omeprazole,63874055310
omeprazole,63874055314
omeprazole,63874055315
omeprazole,63874055330
omeprazole,63874055360
omeprazole,63874055390
omeprazole,63874106000
omeprazole,63874106003
omeprazole,63874106005
omeprazole,63874106006
omeprazole,63874106009
omeprazole,64950042430
omeprazole,64950042490
omeprazole,64950042530
omeprazole,64950042590
omeprazole,65162095703
omeprazole,65224070711
omeprazole,65628007003
omeprazole,65628007005
omeprazole,65628007010
omeprazole,65862078330
omeprazole,65862078390
omeprazole,65862078430
omeprazole,65862078490
omeprazole,66105055603
omeprazole,66105055703
omeprazole,66105055803
omeprazole,66105083003
omeprazole,66220042202
